siret;siren;denomination;enseigne;sigle;naf_code;categorie_chruth;domaine_chruth;sous_categorie;adresse_complete;code_postal;libelle_commune;code_departement;region_nom;region;tranche_effectif_salarie;effectif_code;effectif_label;effectif_nombre;caractere_employeur;categorie_entreprise;nombre_etablissements;date_creation;age_annees;latitude;longitude;est_siege;nature_juridique;liste_finess;liste_uai;_naf_recherche;_timestamp;signal_besoin;priorite;ca_estime_eur;marge_estimee_eur
44893741700013;448937417;CLINIQUE DE LA MUETTE;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;46 A 48 46 RUE NICOLO 75016 PARIS;75016;PARIS;75;Île-de-France;11;22;22;100 à 199 salariés;199;O;GE;1;2003-06-16;23.04722792607803;48.860375993;2.2777709397;True;5710;"[""750300840""]";[];86.10Z;2026-06-15T15:56:48.952721;90;CHAUDE;199000;39800
31677850500040;316778505;SOCIETE D'EXPLOITATION DE MAISONS CHIRURGICALES ET DE SANTE (ALEO SANTE) (SEMCS);;SEMCS;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;52 RUE LABROUSTE 75015 PARIS;75015;PARIS;75;Île-de-France;11;22;22;100 à 199 salariés;199;N;PME;10;1994-04-01;32.25462012320329;48.833479886;2.3075757614;False;5710;[];[];86.10Z;2026-06-15T15:56:46.016524;90;CHAUDE;199000;39800
31677850500057;316778505;SOCIETE D'EXPLOITATION DE MAISONS CHIRURGICALES ET DE SANTE (ALEO SANTE) (SEMCS);;SEMCS;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;54 RUE LABROUSTE 75015 PARIS;75015;PARIS;75;Île-de-France;11;22;22;100 à 199 salariés;199;N;PME;10;2003-11-15;22.63107460643395;48.833261775;2.3073872516;False;5710;[];[];86.10Z;2026-06-15T15:56:46.016524;90;CHAUDE;199000;39800
31677850500065;316778505;SOCIETE D'EXPLOITATION DE MAISONS CHIRURGICALES ET DE SANTE (ALEO SANTE) (SEMCS);;SEMCS;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;15 RUE ROSENWALD 75015 PARIS;75015;PARIS;75;Île-de-France;11;22;22;100 à 199 salariés;199;N;PME;10;2009-03-31;17.256673511293634;48.83296255;2.3058817769;False;5710;[];[];86.10Z;2026-06-15T15:56:46.016524;90;CHAUDE;199000;39800
58202624100015;582026241;CLINIQUE DE L'ALMA;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;166 RUE DE L'UNIVERSITE 75007 PARIS;75007;PARIS;75;Île-de-France;11;22;22;100 à 199 salariés;199;O;ETI;3;1958-01-01;68.50102669404518;48.861336836;2.3057429616;True;5710;"[""750300139""]";[];86.10Z;2026-06-15T15:56:46.386940;90;CHAUDE;199000;39800
58202624100031;582026241;CLINIQUE DE L'ALMA;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;153 RUE DE L'UNIVERSITE 75007 PARIS;75007;PARIS;75;Île-de-France;11;22;22;100 à 199 salariés;199;N;ETI;3;2013-12-01;12.58590006844627;48.861069885;2.3050261444;False;5710;[];[];86.10Z;2026-06-15T15:56:46.386940;90;CHAUDE;199000;39800
26750045201472;267500452;ASSISTANCE PUBLIQUE HOPITAUX DE PARIS (AP-HP);CENTRE DE GERONTOLOGIE (AP-HP);AP-HP;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;49 RUE MIRABEAU 75016 PARIS;75016;PARIS;75;Île-de-France;11;53;53;10000 salariés et plus;10000;N;GE;177;1904-04-04;122.24503764544832;48.846569652;2.2703337206;False;7364;[];[];86.10Z;2026-06-15T15:56:46.014524;90;CHAUDE;10000000;2000000
20002709200093;200027092;HOPITAUX PARIS EST VAL-DE-MARNE;CENTRE DE CRISE CHATELET;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;116 RUE DU TEMPLE 75003 PARIS;75003;PARIS;75;Île-de-France;11;51;51;2000 à 4999 salariés;4999;N;ETI;68;2011-04-26;15.186858316221766;48.862850539;2.358052928;False;7364;"[""750050502""]";[];86.10Z;2026-06-15T15:56:46.015524;90;CHAUDE;4999000;999800
20002709200390;200027092;HOPITAUX PARIS EST VAL-DE-MARNE;EMAPSY;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;116 RUE DU TEMPLE 75003 PARIS;75003;PARIS;75;Île-de-France;11;51;51;2000 à 4999 salariés;4999;N;ETI;68;2024-01-01;2.5023956194387407;48.862850539;2.358052928;False;7364;[];[];86.10Z;2026-06-15T15:56:46.015524;90;CHAUDE;4999000;999800
78425716400037;784257164;INSTITUT CURIE;SECTION MEDICALE;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;26 RUE D'ULM 75005 PARIS;75005;PARIS;75;Île-de-France;11;42;42;1000 à 1999 salariés;1999;O;ETI;16;2005-09-30;20.75564681724846;48.84343012;2.3446741722;False;9300;"[""750160012""]";[];86.10Z;2026-06-15T15:56:46.016524;90;CHAUDE;1999000;399800
