rang_ville;domaine_chruth;code_departement;libelle_commune;nb_prospects;nb_societes;nb_chaude;score_moyen;categories_principales
1438;PRIVE;78;CHAMBOURCY;70;69;0;35.3;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
1439;PRIVE;94;VILLENEUVE-LE-ROI;100;100;0;35.3;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT
1440;PRIVE;95;MONTLIGNON;24;24;0;35.2;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT
1441;PRIVE;95;ARNOUVILLE;99;99;0;35.2;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
1442;PRIVE;94;VALENTON;67;67;0;35.1;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
1443;PRIVE;93;LES PAVILLONS-SOUS-BOIS;188;188;0;35.1;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
1444;PRIVE;94;ABLON-SUR-SEINE;39;39;0;35.1;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT
1445;PRIVE;94;SUCY-EN-BRIE;174;172;0;35.0;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
1446;PRIVE;91;IGNY;63;62;0;35.0;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
1447;PRIVE;93;LIVRY GARGAN;7;7;0;35.0;PRIV_SANTE_CABINET, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT
1448;PUBLIC;77;COURTOMER;4;3;0;35.0;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
1449;PUBLIC;77;SAINT-BRICE;4;3;0;35.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
1450;PUBLIC;78;RAIZEUX;4;3;0;35.0;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
1451;PUBLIC;77;ARBONNE-LA-FORET;3;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1452;PUBLIC;77;FROMONT;3;2;0;35.0;PUB_MAIRIE, PUB_ECOLE
1453;PUBLIC;77;GOUAIX;3;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1454;PUBLIC;78;ALLAINVILLE;3;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1455;PUBLIC;78;HERBEVILLE;3;2;0;35.0;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
1456;PUBLIC;78;TILLY;3;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
